,country,total_bids,robot_bids,fraction_total_robot
0,ad,14,4.0,0.2857142857142857
1,ae,15665,1335.0,0.08522183210979892
2,af,2055,92.0,0.04476885644768856
3,ag,9,6.0,0.6666666666666666
4,al,2699,60.0,0.02223045572434235
5,am,530,60.0,0.11320754716981132
6,an,1,1.0,1.0
7,ao,7139,63.0,0.008824765373301582
8,ar,13278,2486.0,0.18722699201687001
9,at,5852,3407.0,0.5821941216678059
10,au,16390,8634.0,0.5267846247712019
11,aw,7,7.0,1.0
12,az,8878,248.0,0.027934219418788014
13,ba,676,58.0,0.08579881656804733
14,bb,48,5.0,0.10416666666666667
15,bd,29218,464.0,0.01588062153467041
16,be,3290,446.0,0.13556231003039515
17,bf,2651,13.0,0.004903809883062995
18,bg,1972,386.0,0.19574036511156187
19,bh,1239,199.0,0.1606133979015335
20,bi,40,0.0,0.0
21,bj,1009,29.0,0.028741328047571853
22,bm,14,5.0,0.35714285714285715
23,bn,13494,680.0,0.050392767155772934
24,bo,1225,99.0,0.08081632653061224
25,br,30004,3932.0,0.13104919344087454
26,bs,9,7.0,0.7777777777777778
27,bt,12,3.0,0.25
28,bw,4628,28.0,0.006050129645635264
29,by,760,144.0,0.18947368421052632
30,bz,6,1.0,0.16666666666666666
31,ca,17009,9205.0,0.5411840790169911
32,cd,912,14.0,0.015350877192982455
33,cf,5,0.0,0.0
34,cg,105,8.0,0.0761904761904762
35,ch,4825,1993.0,0.4130569948186528
36,ci,413,28.0,0.06779661016949153
37,cl,2885,555.0,0.1923743500866551
38,cm,7085,1464.0,0.20663373323923784
39,cn,9307,3109.0,0.3340496400558719
40,co,624,129.0,0.20673076923076922
41,cr,634,87.0,0.13722397476340695
42,cv,384,37.0,0.09635416666666667
43,cy,564,166.0,0.29432624113475175
44,cz,4944,441.0,0.0891990291262136
45,de,28966,18530.0,0.6397155285507147
46,dj,1191,16.0,0.01343408900083963
47,dk,6594,1585.0,0.24037003336366394
48,dm,17,13.0,0.7647058823529411
49,do,85,63.0,0.7411764705882353
50,dz,5250,523.0,0.09961904761904762
51,ec,1746,133.0,0.07617411225658649
52,ee,451,118.0,0.2616407982261641
53,eg,9532,1265.0,0.13271086865295845
54,er,1,0.0,0.0
55,es,13085,3872.0,0.29591134887275505
56,et,29650,388.0,0.013086003372681282
57,eu,6601,1364.0,0.20663535827904864
58,fi,2296,500.0,0.21777003484320556
59,fj,74,3.0,0.04054054054054054
60,fo,9,8.0,0.8888888888888888
61,fr,12898,3748.0,0.29058768801364554
62,ga,601,4.0,0.0066555740432612314
63,gb,4,1.0,0.25
64,ge,2031,209.0,0.10290497291974397
65,gh,118823,425.0,0.003576748609275982
66,gi,1,1.0,1.0
67,gl,34,13.0,0.38235294117647056
68,gm,470,12.0,0.02553191489361702
69,gn,1,0.0,0.0
70,gp,2,2.0,1.0
71,gq,1545,1.0,0.0006472491909385113
72,gr,3541,698.0,0.19711945778028805
73,gt,14233,590.0,0.04145296142766809
74,gu,44,13.0,0.29545454545454547
75,gy,94,8.0,0.0851063829787234
76,hk,5641,860.0,0.15245523843290196
77,hn,80,10.0,0.125
78,hr,3581,191.0,0.05333705668807596
79,ht,267,9.0,0.033707865168539325
80,hu,2688,739.0,0.27492559523809523
81,id,174228,20495.0,0.11763321624537962
82,ie,2526,922.0,0.36500395882818687
83,il,4535,2138.0,0.47144432194046304
84,in,645631,86386.0,0.13380088626475495
85,iq,13338,1115.0,0.08359574149047833
86,ir,16995,919.0,0.05407472786113563
87,is,111,21.0,0.1891891891891892
88,it,14188,3480.0,0.24527769946433606
89,je,8,7.0,0.875
90,jm,154,22.0,0.14285714285714285
91,jo,13241,329.0,0.024847065931576165
92,jp,8419,7921.0,0.9408480817199192
93,ke,151707,5385.0,0.03549605489529158
94,kg,41,4.0,0.0975609756097561
95,kh,874,352.0,0.40274599542334094
96,kr,6974,6340.0,0.9090909090909091
97,kw,9228,1243.0,0.1346987429562202
98,kz,145,61.0,0.4206896551724138
99,la,561,148.0,0.2638146167557932
100,lb,3111,380.0,0.12214721954355513
101,li,11,5.0,0.45454545454545453
102,lk,28437,848.0,0.02982030453282695
103,lr,1042,15.0,0.014395393474088292
104,ls,402,11.0,0.02736318407960199
105,lt,2644,326.0,0.12329803328290469
106,lu,372,105.0,0.28225806451612906
107,lv,739,151.0,0.20433017591339647
108,ly,2462,186.0,0.07554833468724614
109,ma,10053,960.0,0.09549388242315726
110,mc,585,4.0,0.006837606837606838
111,md,697,60.0,0.08608321377331421
112,me,447,48.0,0.10738255033557047
113,mg,563,21.0,0.037300177619893425
114,mh,1,0.0,0.0
115,mk,1027,224.0,0.2181110029211295
116,ml,1950,20.0,0.010256410256410256
117,mm,296,46.0,0.1554054054054054
118,mn,167,134.0,0.8023952095808383
119,mo,143,140.0,0.9790209790209791
120,mp,6,5.0,0.8333333333333334
121,mr,2707,9.0,0.0033247137052087182
122,mt,177,24.0,0.13559322033898305
123,mu,1843,60.0,0.032555615843733045
124,mv,139,60.0,0.4316546762589928
125,mw,4095,112.0,0.02735042735042735
126,mx,57286,10848.0,0.18936563907411932
127,my,87807,10488.0,0.11944378010864737
128,mz,1943,14.0,0.007205352547606794
129,na,3183,120.0,0.03770028275212064
130,nc,11,11.0,1.0
131,ne,1587,7.0,0.004410838059231254
132,ng,352263,6852.0,0.019451375818635507
133,ni,365,31.0,0.08493150684931507
134,nl,7469,2910.0,0.38961038961038963
135,no,2935,682.0,0.2323679727427598
136,np,4650,173.0,0.037204301075268814
137,nz,1689,424.0,0.25103611604499704
138,om,5833,674.0,0.1155494599691411
139,pa,4505,579.0,0.12852386237513874
140,pe,1347,265.0,0.19673348181143283
141,pf,14,9.0,0.6428571428571429
142,pg,292,3.0,0.010273972602739725
143,ph,23434,4818.0,0.20559870273960912
144,pk,23222,1163.0,0.05008181896477478
145,pl,14070,1688.0,0.11997157071783937
146,pr,1296,550.0,0.4243827160493827
147,ps,48,29.0,0.6041666666666666
148,pt,1545,258.0,0.1669902912621359
149,py,6126,217.0,0.03542278811622592
150,qa,6062,572.0,0.09435829759155394
151,re,14,6.0,0.42857142857142855
152,ro,19563,1138.0,0.05817103716198947
153,rs,20849,458.0,0.02196748045469807
154,ru,53874,11100.0,0.20603630693841185
155,rw,2203,89.0,0.040399455288243305
156,sa,31735,5626.0,0.17728060501024107
157,sb,17,0.0,0.0
158,sc,237,5.0,0.02109704641350211
159,sd,5080,177.0,0.03484251968503937
160,se,5269,2479.0,0.4704877585879674
161,sg,9604,2780.0,0.2894627238650562
162,si,1829,291.0,0.15910333515582287
163,sk,2200,517.0,0.235
164,sl,870,21.0,0.02413793103448276
165,sn,1660,37.0,0.022289156626506025
166,so,1048,9.0,0.008587786259541985
167,sr,39,22.0,0.5641025641025641
168,sv,5839,307.0,0.05257749614660045
169,sy,488,172.0,0.3524590163934426
170,sz,1279,36.0,0.028146989835809225
171,tc,1,1.0,1.0
172,td,168,2.0,0.011904761904761904
173,tg,1212,42.0,0.034653465346534656
174,th,84714,17282.0,0.2040040607219586
175,tj,105,9.0,0.08571428571428572
176,tl,6,1.0,0.16666666666666666
177,tm,53,43.0,0.8113207547169812
178,tn,2434,251.0,0.10312243221035333
179,tr,84896,6676.0,0.07863739163211458
180,tt,377,42.0,0.11140583554376658
181,tw,2614,1285.0,0.49158377964804895
182,tz,7179,179.0,0.024933834795932582
183,ua,23320,2875.0,0.12328473413379074
184,ug,2800,70.0,0.025
185,uk,52863,8782.0,0.1661275372188487
186,us,140043,66663.0,0.47601808016109337
187,uy,101,16.0,0.15841584158415842
188,uz,222,62.0,0.27927927927927926
189,ve,3826,106.0,0.02770517511761631
190,vi,8,8.0,1.0
191,vn,90996,7696.0,0.08457514616027079
192,ws,5,0.0,0.0
193,ye,458,50.0,0.1091703056768559
194,za,155338,13364.0,0.08603175011909514
195,zm,15522,461.0,0.029699780956062363
196,zw,14924,236.0,0.015813454837845083
197,zz,4,1.0,0.25
